84,Clavo para Madera,0.15
83,Arandela Plana,0.2
85,Clavo de Acero,0.25
82,Tuerca Hexagonal,0.3
79,Tornillo para Madera,0.35
80,Tornillo Autorroscante,0.4
81,Tornillo Hexagonal,0.75
75,Lija Grano 80,2.5
76,Lija Grano 120,2.5
77,Lija Grano 220,2.5
78,Lija Grano 400,3.0
48,Tapones Auditivos,3.5
23,Repuesto de Cuchillas,4.0
50,Cinta Aislante,4.0
70,Brocha 1 Pulgada,4.0
17,Regla Metálica 30cm,4.5
47,Mascarilla Protección,4.5
58,Super Pegamento,4.5
51,Cinta Adhesiva,5.0
5,Destornillador Plano,5.0
37,Escobilla de Mano,5.5
4,Destornillador Phillips,5.5
96,Enchufe Eléctrico,5.5
71,Brocha 2 Pulgadas,6.0
22,Cuchilla Multiuso,6.0
1,Martillo Pequeño,6.0
52,Cinta de Embalaje,6.5
3,Kilo de clavo,6.5
98,Interruptor Simple,6.5
39,Recogedor Plástico,7.0
87,Alambre Negro,7.0
45,Lentes de Seguridad,7.5
56,Cola Sintética 250ml,7.5
43,Guantes de Trabajo,8.0
53,Silicona Transparente,8.0
54,Silicona Blanca,8.0
2,Escoba Barracuda,8.0
86,Alambre Galvanizado,8.0
97,Tomacorriente Doble,8.0
14,Cinta Métrica 5m,8.5
74,Bandeja para Pintura,8.5
65,Alcohol Industrial 1L,9.0
10,Llave Inglesa Pequeña,9.0
99,Interruptor Doble,9.0
61,Aceite Multiuso,9.5
21,Arco de Sierra,9.5
64,Thinner 1L,10.0
72,Brocha 4 Pulgadas,10.0
8,Alicate de Punta,10.0
89,Cuerda de Polipropileno,10.0
91,Candado Pequeño,10.0
59,Pegamento de Contacto,11.0
20,Sierra para Metal,11.0
7,Alicate de Corte,11.5
57,Cola Sintética 500ml,12.0
18,Regla Metálica 1m,12.0
73,Rodillo para Pintura,12.0
6,Alicate Universal,12.0
88,Cuerda de Nylon,12.0
40,Balde Plástico 10L,12.0
63,Desengrasante 500ml,12.5
13,Juego de Llaves Allen,12.5
62,Grasa Mecánica,13.0
16,Nivel de Burbuja,13.5
25,Martillo de Goma,14.0
9,Tenaza de Carpintero,14.5
15,Cinta Métrica 10m,15.0
12,Llave Francesa,15.0
55,Pistola de Silicona,15.0
36,Rastrillo Plástico,15.0
19,Serrucho de Mano,16.0
27,Mazo de Madera,16.5
49,Chaleco Reflectante,18.0
11,Llave Inglesa Grande,18.0
38,Escoba Metálica,18.0
60,WD-40 Lubricante,18.0
24,Martillo de Carpintero,18.0
92,Candado Mediano,18.0
100,Linterna LED,18.0
44,Guantes de Cuero,18.5
41,Balde Plástico 20L,19.0
46,Casco de Seguridad,22.0
26,Martillo de Bola,22.0
66,Pintura Blanca 1L,22.0
67,Pintura Negra 1L,22.0
94,Extensión Eléctrica 5m,22.0
35,Rastrillo Metálico,22.0
68,Pintura Azul 1L,23.0
69,Pintura Roja 1L,23.0
90,Cadena Metálica,25.0
28,Combo de 2kg,25.0
31,Pala Cuadrada,27.5
93,Candado Grande,28.0
30,Pala Punta,28.0
34,Azadón de Campo,30.0
32,Pico de Acero,35.0
95,Extensión Eléctrica 10m,35.0
29,Combo de 4kg,38.0
33,Barreta de Acero,42.0
42,Carretilla de Obra,145.0
